subject_uuid,subject_nickname,sex,subject_birth_date,ear_mark,subject_line,subject_strain,subject_source,protocol_number,subject_description,subject_ts
d6e6aa02-a6ec-4d35-a89d-bfe4c7684ba2,SWC_039,F,2019-12-11,R,C57BL/6J,,Charles River,4,,2020-09-24 00:07:39
d97656e7-8eb0-4008-a753-6df7a91e9a2e,KS035,M,2019-12-10,,C57BL/6J,,,1,,2020-09-24 00:07:39
da62bb12-f2f0-4e90-9d9a-413a8537b33b,ZM_1372,F,2018-12-31,,C57BL/6J,,,3,,2019-10-18 23:58:04
deae263e-23e3-4fe9-bc74-ebfcf12e8665,SWC_041,M,2019-12-11,none,C57BL/6J,,Charles River,1,,2020-09-24 00:07:39
df2d615d-f8e1-41e5-bcab-480c8e4ba09f,NYU-06,F,2019-02-26,,,,,1,,2020-01-13 23:40:12
dfcbe240-32dc-427c-a8be-839e6ae3858f,CSHL034,M,2019-05-24,RR,C57BL/6J,,CSHL - Woodbury,3,,2020-01-13 23:40:12
dffc24bc-bd97-4c2a-bef3-3e9320dc3dd7,CSHL046,M,2019-08-06,R,C57BL/6J,,Jax,3,,2020-01-13 23:40:13
e0648c91-1b52-47be-9c74-be614af8ba76,SWC_015,M,2019-06-04,L (Rear HP),C57BL/6J,,Charles River,4,ID: 980127,2020-01-13 23:40:13
e0b2075a-7a47-473c-9cdd-426dd20f6dfa,CSH_ZAD_002,F,2019-04-16,L,C57BL/6J,,Jax,3,,2019-09-18 01:17:38
e1ceadd7-e3c2-4fd9-98bc-148f17dd60c6,ZM_1367,M,2018-12-24,RF,C57BL/6J,,,3,,2020-01-13 23:40:13
e202718f-ff1c-459e-9bd0-09600adb4909,SWC_052,F,2020-05-12,L,C57BL/6J,C57BL/6J,Charles River,1,'Blue',2020-07-13 13:48:59
e403a1bd-408e-401c-8d9f-56e497c923d6,NYU-47,M,2021-04-01,,C57BL/6J,C57BL/6J,,1,,2021-04-22 16:51:26
e4064c7b-9783-4999-82f9-f3b116e97cef,CSHL052,F,2019-08-13,L,C57BL/6J,,Jax,3,,2020-01-13 23:40:13
e5482ccf-b521-425a-ac3f-710f58fb06a5,IBL_005,F,2018-12-30,L,,,,4,,2020-01-13 23:40:13
e73517cb-364e-438d-bbc6-dc78fb2fcd88,DY_012,M,2019-10-23,none,C57BL/6J,,Jax,3,,2020-09-24 00:07:39
e938c534-d17e-4af4-a337-f2b794a08a30,CSHL056,M,2019-10-15,R,C57BL/6J,,Jax,3,,2020-01-13 23:40:14
e9cac4f8-effa-462a-8e41-323c58ef86dd,KS002,M,2018-10-30,,C57BL/6J,,,3,,2020-01-13 23:40:14
eb1a369c-a3b5-4861-a437-aff0bf00e8fa,ZM_3005,F,2019-11-10,B,C57BL/6J,,Charles River,3,,2020-09-24 00:07:39
ec37881b-e0a7-482d-9ed1-9fc208ee2c9f,KS074,M,2021-05-18,,C57BL/6J,C57BL/6J,,2,,2021-08-07 12:10:28
ecba4914-30c3-4a0b-9d65-1ef5d80ca5f2,CSHL_001,M,2018-11-20,right ear,C57BL/6J,,Jax,3,,2019-09-18 01:17:38
ed8918e4-6a37-4b3d-9b4d-daa14eca0c70,CSHL059,M,2019-10-15,RR,C57BL/6J,,Jax,3,,2020-01-13 23:40:14
ee1a2b83-ab8d-4b71-8d23-04f7b21b1595,NYU-04,M,2018-12-18,4,,,,1,,2019-09-18 01:17:38
eff64787-e686-458a-a7b2-1c73eb0c495a,CSH_ZAD_009,M,2019-05-06,RR,C57BL/6J,,Jax,3,,2020-01-13 23:40:14
f01b97ab-0d2c-4825-b87f-b29f6daf3979,NYU-07,F,2019-02-26,,,,,1,,2020-01-13 23:40:14
f0af349e-b036-44a4-b8f1-c883c266ed52,CSHL_013,F,2019-02-19,"Right, Left",C57BL/6J,,Jax,3,,2020-01-13 23:40:15
f365dcc4-7523-4abd-9021-265f39b7290a,ZM_1097,M,2018-10-23,LF,C57BL/6J,,Jax,3,,2020-01-13 23:40:15
f3acdbcd-7c95-4dc8-b13e-8310048000c5,DY_002,M,2019-01-01,none,C57BL/6J,,Jax,3,,2020-01-13 23:40:15
f498ba9d-d983-43fd-b8c1-b22ec919018e,IBL-T2,F,2018-11-27,2,,,,1,,2020-01-13 23:40:15
f53fe97f-d173-4d5c-93e6-63e16c21d184,ibl_witten_21,F,2019-12-03,NA,C57BL/6J,,Jax,3,,2020-09-24 00:07:40
f659a8e5-d32d-4805-b050-9b70f063a174,CSHL054,F,2019-08-13,,C57BL/6J,,Jax,3,,2020-01-13 23:40:15
f7964cba-0846-4796-bcee-0b97d91b1326,IBL_001,F,2019-01-09,R,,,,4,,2020-01-13 23:40:16
fb3c491d-233c-4ee0-abfa-5ea0222cd080,ZM_1086,M,2018-10-23,RLF,C57BL/6J,,Jax,3,,2020-01-13 23:40:16
fb5e4b77-4057-4887-bf20-50f2459333eb,CSHL_012,F,2019-02-19,Left,C57BL/6J,,Jax,3,,2020-01-13 23:40:16
fc392f4d-3d80-4460-ae28-f2775919bd1f,CSH_ZAD_021,M,2019-11-12,L,C57BL/6J,,Jax,3,,2020-09-24 00:07:40
fc9591f2-ee03-4424-a021-836ef894b0d2,DY_016,M,2020-05-13,none,C57BL/6J,C57BL/6J,Jax,3,,2020-07-24 05:00:01
fdfa9a26-75fd-49c4-a4ed-1768cfd861ca,DY_009,M,2019-09-08,none,C57BL/6J,,Jax,1,,2020-01-13 23:40:16
feee7bb6-a609-4bfe-986d-9f425bb4e2a9,CSH_ZAD_019,F,2019-11-12,R,C57BL/6J,,Jax,3,,2020-09-24 00:07:40
ffcd8c5e-fe0c-4d6d-8418-d9152f1746f1,ZM_2240,M,2019-08-12,large stripe,C57BL/6J,,Charles River,1,,2020-01-13 23:40:17
